strasse;strassen_bez;herkunft;beschluss;gueltig_ab
1070;"An der Schloßkirche";"Hier befindet sich die Schlosskirche, ehedem Kapelle der kurfürstlichen Residenz.";1966-07-14;
1319;Heerstraße;"Alte Römerstraße, die nach Trier führte.";1977-03-24;1978-01-01
3031;"Am Waldrand";Flurname.;1969-05-12;
2123;Frascatistraße;"Frascati, Stadt in Italien, Partnerstadt von Bad Godesberg.";1957-07-03;
1096;"Berliner Freiheit";"Der Name erinnert an den Aufstand vom 17. Juni 1953 in der DDR.";1954-03-04;
1544;Maarhofplatz;"Die Benennung bezieht sich auf den Maarhof, einer der ältesten und wohl wichtigsten Höfe in Bonn, der seit dem 12. Jahrhundert als bischöfliches Gut nachweisbar ist. Ein großer Teil der heutigen Innenstadt gehörte zu diesem Hof, dessen Zentrum im Bereich des zu benennenden Areals lag. Anfang des 19. Jahrhunderts wurde der Hof säkularisiert; seine weitere Geschichte ist nicht aufgearbeitet. Durch die Platzbenennung wird dieser historische Hofnamen in Erinnerung gehalten.";2020-04-23;2020-05-06
1517;Magdalenenstraße;"Maria Magdalena, Pfarrpatronin in Endenich.";1904-07-15;
4837;"Meßdorfer Straße";"Meßdorf, ein Ortsteil von Bonn-Lessenich.";1903-03-02;
4023;Heidgesallee;;1888-04-18;
2247;Kurfürstenallee;"Nach dem letzten Kölner Erzbischof und Kurfürsten Maximilian Franz von Habsburg (1756-1801), Regierungszeit 1784-1801, der Godesberg mit seinem Mineralbrunnen zum Badeort und zu einer Art Nebenresidenz machte.";1977-03-24;1978-01-01
3900;"Am Pappelhain";;1987-12-15;
3427;"Am Alten Pütz";"Flurname 1752: Am alten Pütz. Ehemaliger Dorfbrunnen.";1977-03-24;1978-01-01
1542;Michaelstraße;;1902-07-11;
2089;Denglerstraße;"Anton Dengler (1852-1914), Bürgermeister von Bad Godesberg 1888-1914.";1899-02-09;
2480;Mildred-Scheel-Straße;"Mildred Scheel (1931-1985), Medizinerin, Mitbegründerin der Deutschen Krebshilfe e.V., Ehefrau des Bundespräsidenten Walter Scheel.";1989-08-22;
2125;Friedrich-Ebert-Straße;"Friedrich Ebert (1871-1925), erster deutscher Reichspräsident 1919-1924.";1955-09-29;
1736;"Am Alten Poststadion";"Weg zur Sportstätte Poststadion 1927-1960.";2006-10-19;
1495;Loeschckestraße;"Georg Loeschcke (1852-1915), Archäologe, Professor an der Universität Bonn, Gründer des Archäologischen Instituts der Universität.";1955-12-01;
2302;"Neuer Weg";;;
3776;"In den Bieshecken";"Flurname. Bies bezeichnet Bienen.";1987-12-15;
4205;Friedlandstraße;"In der Gemeinde Friedland, Niedersachsen, befand sich das Auffanglager für Flüchtlinge, Vertriebene und Spätaussiedler.";1974-06-11;1978-01-01
3347;Mehlemstraße;"Leonhard Mehlem (1752-1832), Kanoniker, erwarb 1816 das frühere bergische Richterhaus in Ramersdorf mit den dazu gehörenden Ländereien.";;
1025;"Am Burggraben";"Gemeint ist der Burggraben der Endenicher Burg.";1904-07-15;
1510;Madridstraße;"Madrid, Hauptstadt von Spanien.";1996-02-06;1996-06-15
4734;"Am Ehrenmal";"Nach dem dort befindlichen Ehrenmal.";1972-12-19;
1781;Villenstraße;;;
1347;Karl-Frowein-Straße;"Karl Frowein (1781-1821), Textilfabrikant, Stadtverordneter.";1972-12-19;
3766;Tulpenweg;;;
2269;"Kreisauer Straße";"Kreisau, Stadt in Schlesien, heute Krzyzowa in Polen. Treffpunkt der Widerstandsgruppe ""Kreisauer Kreis"".";1977-03-24;1978-01-01
1277;Goebenstraße;"August von Goeben (1816-1880), preußischer General.";;
1290;Gustav-von-Veit-Straße;"Gustav von Veit (1824-1903), Mediziner, Gynäkologe, Professor an der Universität Bonn.";1953-02-05;
2091;Dietrichstraße;"Dietrich I. von Hengebach, Kölner Erzbischof 1208-1215, legte 1210 den Grundstein der Godesburg.";1904-06-07;
3070;"Sankt Augustiner Straße";"St. Augustin, Stadt östlich von Bonn.";1977-03-24;1978-01-01
4702;"Auf dem Uhlberg";"Flurname Auf dem Oelberg. Alte Töpfersiedlung, Ulner sind Töpfer.";1979-09-18;
1323;Heinrich-Fritsch-Straße;"Heinrich Fritsch (1892-1945), Mediziner, Professor und Direktor der Frauenklinik der Universität Bonn.";1938-09-09;
4771;Basketsring;"Die Straße erschließt u.a. die Sporthalle (T-Dome) der Basketball-Bundesligamannschaft ""Telekom Baskets Bonn"".";2007-08-23;
1682;Sachsenweg;"Sachsen, germanischer Volksstamm, Name verschiedener historischer Staaten, Bundesland seit 1990.";1922-02-24;
3336;Maria-Goeppert-Mayer-Straße;"Maria Goeppert-Mayer, 1906-1972, wurde in Katowice, Polen, geboren und zog 1910 nach Göttingen. Dort studierte sie zunächst Mathematik, später Physik und promovierte 1930. Im selben Jahr siedelte sie in die USA über. 1946 wurde sie in Chicago als Professorin in die Kernforschung berufen. Sie erhielt 1963 zusammen mit J. Hans D. Jensen eine Hälfte des Nobelpreises für Physik.";2016-06-01;
2482;Johanna-Kinkel-Straße;"Johanna Kinkel (1810-1858), Komponistin und Schriftstellerin, Gründerin des Maikäferbundes, einer musikalischen-literarischen Vereinigung, geboren in Bonn, Ehefrau von Gottfried Kinkel.";1989-08-22;
3346;Mehlbergweg;Flurname.;1963-11-06;
1464;Kurt-Schumacher-Straße;"Kurt Schumacher (1895-1952), nach langjährigem KZ-Aufenthalt wurde er 1946 Partei- und später auch Fraktionsvorsitzender der SPD.";1968-06-20;
1366;"Im Kirchenbenden";"Flurname. Bezeichnung für feuchte Gärten, Wiesen und Holzungen im Besitz der Kirche.";;
1798;Wachsbleiche;"Nach den früheren Bleichanlagen.";;1903-01-01
1367;"Im Krausfeld";Flurname.;;
2272;"Marienforster Promenade";"Ehemaliges Birgittenkloster (aufgehoben 1802) und späteres Gut Marienforst in Bad Godesberg.";1899-10-28;
1178;Drususstraße;"Nero Claudius Drusus (38 v. Chr. - 9 v. Chr.), römischer Feldherr, galt lange als Gründer des Bonner Militärlagers.";1909-12-17;
2088;"Deichmanns Aue";"Deichmann, in Bad Godesberg ansässige, aus Köln stammende Bankiersfamilie.";1952-02-22;
1081;"Am Cöllenhof";"Um 1428 erwarben die Kölner Kartäuser den Schornshof, 1626 übernahm der Pächter Gerhard Cöllen den Hof, der 1961 niedergelegt wurde.";1976-01-13;1976-02-13
2321;Pfarrer-Merck-Straße;"Heinrich Merck (1772-1853), Pfarrer in Friesdorf.";1969-06-11;
2360;Scharnhorststraße;"Gerhard Johann David von Scharnhorst (1756-1813), preußischer General.";1911-11-17;
1170;Dorotheenstraße;"Dorothea David, Ehefrau des Gutsbesitzers David, des Erbauers dieser Straße.";1877-12-02;
1127;Bunsenstraße;"Robert Wilhelm Bunsen (1811-1899), Chemiker, Professor in Marburg, Breslau und Heidelberg.";1961-04-20;
1107;"Am Römerlager";"Standort des römischen Legionslagers.";1976-01-13;1976-05-07
1670;Raiffeisenstraße;"Friedrich Wilhelm Raiffeisen (1818-1888), Genossenschaftsgründer und Sozialreformer.";;
1519;Malusiusstraße;"Malusius, legendärer Märtyrer der thebäischen Legion, zusammen mit Cassius und Florentius.";1904-07-15;
1146;Clausiusstraße;"Rudolf Clausius (1822-1888), Physiker, Professor an der Universität Bonn.";;
1181;"Dubliner Straße";"Dublin, Hauptstadt von Irland.";1981-03-24;
3160;Fabristraße;"Nach dem oberhalb, an der Abtstraße gelegenen Fabrihof, dem späteren so genannten Abthof.";;
2432;Von-Groote-Platz;"Karl August von Groote (1831-1897), Bürgermeister von Godesberg 1857-1888.";1920-06-30;
3602;Vinzenzstraße;"Vinzenz Oberhäuser, Karmeliter, der nach der Säkularisation das Kloster in Pützchen verlassen musste.";1963-11-06;
2049;"Bachemer Straße";"Niederbachem, Ortsteil der Gemeinde Wachtberg.";1893-07-12;
2073;Brunnenallee;"Godesberger Mineralbrunnen (Draitschquelle), um 1790 neu gefasst. Im Gemeinderat wird 1846 der verbreiterte Gemeindeweg von der Redoute zur Brunnenanlage als ""so genannte Große Allee"" bezeichnet, in einem Beschluss vom 24.05.1848 wird bereits der später offiziell vergebene Namen verwendet.";1874-08-24;
3503;Sebastianusstraße;"Der hl. Sebastian, Patron der Schützenbruderschaft in Pützchen.";1963-11-06;
1726;Sträßchensweg;"Die Straße war anfangs teilweise ausgearbeitet, teilweise Trampelpfad, also nur ein Sträßchen.";;
3339;Maria-Tiefenbacher-Straße;"Maria Tiefenbacher (1888-1987), Pädagogin am St. Adelheid-Gymnasium in Pützchen 1927-1987.";1989-04-25;
2363;Jean-Paul-Straße;"Jean Paul (1763-1825), Schriftsteller der Romantik.";1977-03-24;1978-01-01
1764;Usenerstraße;"Hermann Carl Usener (1834-1905), Altertumswissenschaftler, Professor an der Universität Bonn.";1953-02-05;
2099;Dreizehnmorgenweg;"Flurname. Es ist anzunehmen, daß die Zahl 13 irrtümlich für 30 in das Kataster eingetragen wurde.";1961-07-17;
2492;"Remagener Straße";"Remagen, Stadt südlich von Bonn.";1991-07-09;
2140;"Godesberger Straße";;1906-12-14;
1708;Seehausstraße;"Paul Adolf Seehaus (1891-1919), Maler.";;
1175;Dreieck;"Benannt wahrscheinlich nach der Form dieser Verkehrsfläche.";;
3849;Basaltstraße;"Der im Steinbruch gebrochene Basalt wurde im 19. Jahrhundert über diese Straße zur Verladestelle ans Rheinufer gebracht";1977-03-24;1978-01-01
3844;Rauchlochweg;Flurname.;1890-09-24;
3345;Hasertstraße;"Heinrich Hasert, Eremit vor der Gründung des Karmeliterordens in Pützchen.";1977-03-24;1978-01-01
1194;Eibenweg;;1951-02-09;1951-02-09
4720;Edisonallee;"Thomas Alva Edison (1847-1931), bedeutender Unternehmer und Erfinder.";1982-06-02;1982-07-02
2042;"Auf dem Oelsfeld";Flurname.;1961-12-14;
3015;"Am Ledenhof";"In der Nähe liegt der bis 1803 dem Stift Vilich gehörende, urkundlich bereits 1390 erwähnte Viehhof, den der spätere Besitzer, Otto Friedrich Weinlig, zu Anfang des 20. Jahrhunderts in Ledenhof umbenannte.";1956-03-20;1956-03-20
2011;"Im Buchengrund";;1977-03-24;1978-01-01
3831;"In den Erlen";Flurname.;1896-11-30;
1122;Von-Weichs-Straße;"Von Weichs, alte Endenicher Familie, die seit dem 16. Jahrhundert in kurfürstlichen Diensten stand und in der Endenicher Burg wohnte.";1978-02-28;
4262;Johann-Wirtz-Straße;"Johann Wirtz (1897-1966), Landwirt, Gemeinderat ab 1946, stellvertretender Bürgermeister 1948-1951, Bürgermeister 1951-1964.";1985-10-29;
4251;Jakob-Mager-Straße;"Jakob Mager (1852-1926), Landwirt und Gemeindevorsteher 1915-1921.";1983-02-22;
3139;Elisestraße;"Der Straßenname bezieht sich auf das Werk Ludwig van Beethovens, dessen 250 Geburtstag im Jahr 2020 als nationales und internationales Ereignis gefeiert wird, wobei die Stadt Bonn als Geburtsstadt des Komponisten eine zentrale Rolle übernimmt. Die Bezeichnung Freudestraße steht auch in Verbindung zum Slogan der Stadt Bonn, Freude - Joy- Joie.";2017-12-07;2018-01-10
3559;Teufelsbachweg;"Lage am Teufelsbach.";1991-03-19;
1078;Babette-Koch-Weg;"Babette Koch (1771-1807), Jugendfreundin Beethovens, seit 1802 verheiratet mit dem Bonner Maire und Bürgermeister Graf Anton von Belderbusch.";1996-05-30;1996-06-29
3747;Löwenburgweg;"Löwenburg, Berg und Burgruine im Siebengebirge.";;
2015;"Am Finkenherd";Flurname.;1934-01-02;
3062;"Beueler Bahnhofsplatz";"Platz vor dem Beueler Bahnhof (eröffnet am 1.3.1871).";1977-03-24;1978-01-01
1749;Troschelstraße;"Franz Hermann Troschel (1810-1882), Zoologe, Professor an der Universität Bonn.";;
1449;Kommanderiestraße;"Nach dem dort gelegenen Hof der Kölner St. Katharinenkommende der Ballei Koblenz des Deutschen Ritterordens.";;
1400;Josefstraße;"Joseph Clemens von Wittelsbach (1671-1723), Erzbischof und Kurfürst von Köln 1688-1723.";;
4333;Grimmgasse;"Flurname An (Auf) der Grimmgaße.";;
4623;"Im Blumengarten";Flurname.;1951-02-01;
4711;Morseweg;"Samuel Finley Breese Morse (1791-1872), Erfinder des Schreibtelegraphen.";1982-06-02;1982-07-02
4748;Messerschmittstraße;"Willi Messerschmitt (1898-1978), Ingenieur und Flugzeughersteller.";1982-07-06;
2418;"Ürziger Straße";"Ürzig, Weinort an der Mosel.";1956-02-23;
2389;Splickgasse;"Flurname. Verschiedene Wortbildung von ""Splicken"": ""Splicksen"", ""Splicktern"", ""Splinke"", ""Splinkse"", ""Spliß"" für Gespaltenes.";1874-12-14;
1492;"Lissaboner Straße";"Lissabon, Hauptstadt von Portugal.";1981-03-24;
3699;"Am Hähnchen";Flurname.;1971-11-09;1972-01-04
4350;"Auf der Urdel";"Flurname. Die benannte Fläche liegt im Gewann Auf der Urdel, der Wortteil -delen könnte vielleicht kleine Mulde bedeuten.";2007-08-23;2007-09-05
1537;Wernher-von-Braun-Straße;"Wernher von Braun (1912-1977), deutsch-amerikanischer Raketenforscher, ließ vor 1945 in großem Stil Zwangsarbeiter für seinem vom NS-Staat geförderten Projekte einsetzen.";1977-10-14;
1457;Kreuzbergweg;"Kreuzberg, Anhöhe in Bonn, auf der im 17. Jahrhundert im Auftrag des Kölner Kurfürsten Ferdinand von Bayern die Kreuzbergkirche errichtet wurde. Im 18. Jahrhundert stiftete Kurfürst Clemens August die vor der Kirche gelegene Heilige Stiege.";;
2348;"Röttgener Weg";"Röttgen, Ortsteil von Bonn.";1965-09-21;
1681;Saarweg;"Saar, rechter Nebenfluss der Mosel.";;
2197;"Im Weingarten";"Flurname Im Feldweingarten.";1927-12-01;
4343;"Im Ahlgasserfeld";Flurname.;1984-06-14;
2290;Mittelstraße;;1895-10-23;
2444;Weißdornweg;;1964-06-09;
3051;Alice-Salomon-Straße;"Alice Salomon (1872-1948), Frauenrechtlerin und Sozialpädagogin.";1999-05-19;
1814;Wesselbahnweg;"Die Wesselebahn war eine 1890 eröffnete Kleinbahn, die die Porzellan- und Steingutfabrik Wessel bis zu ihrer Schließung 1969/70 mit dem Bonner Güterbahnhof verband.";1989-09-19;
1354;Lenaustraße;"Nikolaus Lenau (1802-1850), Dichter.";1974-10-22;1978-01-01
4346;"Im Pützengarten";"Flurname. Pütz bedeutete Schöpf- oder Ziehbrunnen, Sumpfstelle, Wasserlache oder kleiner Teich, von Lateinisch puteus.";1986-01-28;
1727;"Straßburger Weg";"Straßburg, Stadt im Elsass.";1932-09-24;
3436;"Promenade Limperich";"Der Straßenname bezieht sich auf den in der Nähe gelegenen Ortsteil.";2017-09-21;2017-10-25
1005;Adolfstraße;"Adolf Wilhelm Viktor zu Schaumburg-Lippe (1859-1916), Prinz und Regent des Fürstentums Schaumburg-Lippe";;1910-03-08
1152;Carl-Justi-Straße;"Carl Justi (1832-1912), Kunsthistoriker, Professor für Kunstgeschichte an der Universität Bonn 1872-1901.";1971-04-15;1971-05-24
4232;"Schweidnitzer Weg";"Schweidnitz, Stadt in Schlesien, heute Swidnica in Polen.";1975-01-14;1975-02-21
1720;Sterntorbrücke;"Brücke, die hier über den besonders breiten Festungsgraben zum (neuen) Sterntor führte.";;1903-01-01
2012;"Am Burgfriedhof";"Nach der Lage der Straße in der Nähe des Burgfriedhofes, seit ca. 1810 in Benutzung.";1956-10-16;
2493;Ludwig-Erhard-Platz;"Ludwig Erhard (1897-1977), Bundeswirtschaftsminister 1949-1963, Bundeskanzler der Bundesrepublik Deutschland 1963-1966.";1992-05-26;
2196;"Im Vogelsang";Flurname.;1947-01-31;
3216;Hans-Steger-Ufer;"Hans Steger (1922-1998), letzter Bürgermeister der Stadt Beuel, Bürgermeister der Stadt Bonn.";2000-03-16;
1064;Auerbergweg;"Auerberg, Bonner Ortsteil.";;
3022;"An der Bärenwiese";"Flurname. Die Wiese in Holtorf gehörte einem Mann namens Behr. 1824 ist der Ausdruck von den ortsfremden Landmessern falsch verstanden worden. (1726 Auf der Behrs Wiese, 1824 In der Bärenwiese).";1965-07-29;
4066;"Auf den Steinen";Flurname.;1962-07-17;
2414;Truchseßstraße;"Gebhard Truchseß von Waldburg (1547-1601), Kurfürst und Erzbischof von Köln 1577-1582.";1901-04-01;
3733;Giersbergstraße;"Flurname Am Giersberg.";1972-12-19;
2077;Bürvigstraße;"Der vom Flurnamen Auff dem Bürffig (1772) stammende Name Bürfigsgasse (letzte Erwähnung 21.10.1900) wurde wohl stillschweigend zur Bürfigstraße (erste Erwähnung im Muffendorfer Rat am 17.11.1902) geändert. Schreibweise auch Bürfigsstraße (1902, Go 10099), Bürwigsstraße (1913) oder Bürvigsstraße (1935, Go 7519).";1902-11-17;
2270;"Marienforster Allee";"Ehemaliges Birgittenkloster (aufgehoben 1802) und späteres Gut Marienforst in Bad Godesberg.";1964-11-23;
4713;Enggasse;Flurname.;1900-12-10;
1608;Paulstraße;;1869-09-20;
1247;Fritz-Tillmann-Straße;"Fritz Tillmann (1874-1953), katholischer Theologe, Rektor der Bonner Universität 1919-1921.";1956-03-01;
1338;Hirschgasse;;1904-07-15;
3199;Haberbitze;"Flurname. Hafer und Bitze bezeichnen eine eingezäunte Wiese.";1983-01-25;
2341;Lortzingstraße;"Albert Lortzing (1801-1851), Komponist.";1977-03-24;1978-01-01
2001;Aennchenplatz;"Aennchen Schumacher (1860-1935), Lindenwirtin, Ehrenbürgerin von Bad Godesberg.";1933-08-02;
4320;"Am Burgweiher";"Flurname Auf dem Burgraben, es handelt sich um die alte Burg in den Auen vor dem Dorf.";1972-12-19;
2217;Kennedyallee;"John F. Kennedy (1917-1963), Präsident der Vereinigten Staaten von Amerika 1961-1963.";1963-12-16;
3033;"Auf der Schleide";"Flurname. Schleide bezeichnet eine geneigte Fläche.";1963-11-06;
3140;Eichendorffstraße;"Josef Freiherr von Eichendorff (1788-1857), Dichter der Romantik.";1954-04-15;1964-04-15
3023;"An der Linde";"Gemeint ist die in vielen Orten anzutreffende Dorflinde.";;
1496;Loestraße;"Walter von Loe (1828-1908), preußischer Generalfeldmarschall, Ehrenbürger von Bonn 1897.";1896-07-08;
4463;Abenteuerweg;"Die Straße führt zu der Freizeiteinrichtung für Kinder, das so genannte Brüser Dorf. Über den Straßennamen durften die Kinder abstimmen.";2004-03-18;
1475;Carl-Troll-Straße;"Carl Troll (1899-1975), Geograph, Direktor des Geographischen Instituts der Universität Bonn.";1977-03-24;1978-01-01
1680;"Saarbrückener Straße";"Saarbrücken, Hauptstadt des Saarlandes.";1934-11-02;
1381;Irmintrudisstraße;"Irmintrudis von Mylendonk, Äbtissin des Benediktinerklosters Dietkirchen in Bonn 1163-1174.";1954-03-08;
2309;Oberstraße;;;
3723;"Am Weinstock";Flurname.;1977-03-24;1978-01-01
1020;"Am Birkenbruch";Flurname.;1954-03-08;
2271;"Marienforster Kirchweg";"Weg zur Kloster- und vorübergehenden Pfarrkirche.";;
2168;Heinrichstraße;"Nach dem Mehlemer Bürger Heinrich, der im Spätmittelalter zu Unrecht auf dem Rodderberg hingerichtet worden sein soll.";1947-01-31;
1816;Wielsgäßchen;"Caspar Wiel, Hauptlehrer in Poppelsdorf 1818-1859.";;
2243;"Am Gäßchen";"Flurname. Auf einer Karte von 1907 heißt die Straße Münzstraße.";1977-03-24;1978-01-01
2179;"Honnefer Straße";"Honnef, seit 1962 Bad Honnef, rechtsrheinisch südlich von Bonn.";1965-03-26;
4840;Martin-Legros-Straße;"Martin Legros (1704-1784), Glockengießer, hat u.a. die Glocken des Bonner Münsters und drei Glocken der Lessenicher Kirche gegossen.";1970-10-08;
3863;Röckesbergstraße;"Ramersdorfer bzw. Oberkasseler Steinbruch.";1992-02-11;
3202;"Oberkasseler Straße";"Oberkassel, Ortsteil von Bonn.";1977-03-24;1978-01-01
4805;Ermlandstraße;"Ermland, Region in Ostpreußen, heute Warmia in Polen.";1972-12-19;
3633;Wilhelm-Flohe-Straße;"Wilhelm Flohe, Priester in Pützchen, betreute in der zweiten Hälfte des 17. Jahrhunderts die Wallfahrer am Adelheidisbrunnen.";1992-10-06;
3620;Mohnweg;;1977-03-24;1978-01-01
3324;Lohrbergweg;"Lohrberg, Berg im Siebengebirge.";1957-12-02;
3209;"Holtorfer Straße";"Holtorf, Ortsteil von Bonn.";;
1695;Schleichstraße;"Karl-Ludwig Schleich (1859-1922), Mediziner, Schriftsteller.";1951-02-09;
1274;Gluckstraße;"Christoph Willibald Ritter von Gluck (1714-1787), Komponist.";;
3429;Portlandweg;"Portlandzement bezeichnet eine in England erfundene Zementart. Die Straße wurde in Erinnerung an die auf dem Gelände von Hermann Bleibtreu 1858 gegründete und bis 1987 bestehende Zementfabrik benannt.";2008-04-10;2008-05-14
4341;Gerberaweg;;1984-06-14;
3717;"Am Tiergarten";Flurname.;;
1142;"Auf dem Schleifacker";"Alte Gewannbezeichnung.";1990-01-30;1990-02-09
2254;Leibnizstraße;"Gottfried Wilhelm Leibniz (1646-1716), Universalgelehrter.";1969-06-11;
2187;"Im Erlengrund";Flurname.;1956-02-23;
1394;Kesselgasse;"Gasse der Kessel-, Kupfer- und Blechschmiede.";1974-10-22;1978-01-01
4322;Ettighofferstraße;"Paul Coelestin Ettinghoffer (1896-1975), Schriftsteller.";1981-09-29;
1527;Markusstraße;"Adolph Marcus (1793-1857), Buchhändler, Drucker und Verleger, Sohn Gustav Marcus (1820-1895) übernahm das Geschäft.";;
3545;"Stieldorfer Straße";"Stieldorf, Ortsteil von Königswinter.";1956-08-10;
2221;Kirchberg;"Nach der katholischen Kirche in Lannesdorf.";1945-04-14;
2447;Weststraße;;1899-02-09;
